axis,x_name,x,method,mean_Mbps,std_Mbps,feasible_fraction,mean_max_AoDT_s,n
aodt,aodt_threshold_s,2.0,pso,8.89967261117926,0.032823352238517796,1.0,2.0,20
aodt,aodt_threshold_s,2.0,sca,8.938189090488363,0.024133089778771565,1.0,2.0,20
aodt,aodt_threshold_s,2.4,random,8.920705910727788,0.03803935725215661,1.0,2.4,20
aodt,aodt_threshold_s,2.4,kmeans,8.898352797424991,0.029908278786086644,1.0,2.4,20
aodt,aodt_threshold_s,2.4,pso,8.90270123018731,0.03320765249918363,1.0,2.4,20
aodt,aodt_threshold_s,2.4,sca,8.945324104250309,0.023579566442966087,1.0,2.4,20
aodt,aodt_threshold_s,2.8,random,8.927646898849277,0.03514471422657701,1.0,2.7999999999999994,20
aodt,aodt_threshold_s,2.8,kmeans,8.90083905801947,0.02956490132021408,1.0,2.7999999999999994,20
aodt,aodt_threshold_s,2.8,pso,8.904552392856989,0.033467912461454564,1.0,2.7999999999999994,20
aodt,aodt_threshold_s,2.8,sca,8.946425328822473,0.025310058842697915,1.0,2.7999999999999994,20
aodt,aodt_threshold_s,3.0,random,8.930199857430189,0.034176566790525185,1.0,3.0,20
aodt,aodt_threshold_s,3.0,kmeans,8.901753797202103,0.029446055032419302,1.0,3.0,20
aodt,aodt_threshold_s,3.0,pso,8.90523286645121,0.03356818242108165,1.0,3.0,20
aodt,aodt_threshold_s,3.0,sca,8.948014587875827,0.025236802554119902,1.0,3.0,20
cpu,uav_cpu_cycles_per_s,50000000.0,random,8.92282431215242,0.03704372058645383,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,50000000.0,kmeans,8.899005487891264,0.029872767244938304,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,50000000.0,pso,8.903144596552039,0.03342738508269309,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,50000000.0,sca,8.946491710557144,0.023517367758642223,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,100000000.0,random,8.92627246236717,0.035688772066104435,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,100000000.0,kmeans,8.900346649657903,0.02963056376835674,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,100000000.0,pso,8.904185957378164,0.033414928383839415,1.0,2.7999999999999994,20
