axis,x_name,x,method,mean_Mbps,std_Mbps,feasible_fraction,mean_max_AoDT_s,n
cpu,uav_cpu_cycles_per_s,100000000.0,sca,8.281453991989052,0.28079995638069977,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,150000000.0,random,7.937651100958213,0.47102614204458665,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,150000000.0,kmeans,7.47113310502052,0.44185844788970885,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,150000000.0,pso,8.11705163909651,0.2522286243755076,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,150000000.0,sca,8.294089521004613,0.2791822217627155,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,200000000.0,random,7.94693536757907,0.46427523880974675,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,200000000.0,kmeans,7.474058203702092,0.4415719059567104,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,200000000.0,pso,8.121866195236159,0.2515250254896294,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,200000000.0,sca,8.300137868754854,0.27840929776761675,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,250000000.0,random,7.952372682918811,0.46034351023976977,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,250000000.0,kmeans,7.475771259499399,0.44140573584552717,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,250000000.0,pso,8.124685442366692,0.25111670406077075,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,250000000.0,sca,8.30368504491444,0.27795658739954676,1.0,2.7999999999999994,20
