axis,x_name,x,repeated_default,bh_q_unique_family,bh_family_size,champion,baseline,n_seeds,n_jointly_feasible,mean_delta_Mbps,std_delta_Mbps,sem_delta_Mbps,ci95_lo_Mbps,ci95_hi_Mbps,wins,ties,losses,win_rate,wilcoxon_W_plus,wilcoxon_n_nonzero,wilcoxon_method,wilcoxon_p_two_sided,wilcoxon_p_greater,t_stat,t_df,t_p_two_sided,t_p_greater,champion_mean_Mbps,baseline_mean_Mbps,quote
iots,num_iot,32.0,False,0.0003837403796968006,25,sca,pso,20,20,0.015890553104335847,0.015648521933216187,0.0034991158790067815,0.008566819400412599,0.023214286808259096,18,0,2,0.9,194.0,20,exact,0.0003223419189453125,0.00016117095947265625,4.541305190740455,19,0.00022325796886548427,0.00011162898443274213,8.906371970778956,8.890481417674621,"SCA wins by 0.016+/-0.016 Mbps vs pso, p<0.001, 18/20 seeds"
lambda,lambda_i_per_s,1.0,False,0.00879367192586263,25,sca,random,20,20,0.025431804566809203,0.04292452515509793,0.009598215614869867,0.005342508405489187,0.04552110072812922,16,0,4,0.8,179.0,20,exact,0.0042209625244140625,0.0021104812622070312,2.64963880655165,19,0.015813131972960904,0.007906565986480452,8.943848059848213,8.918416255281405,"SCA wins by 0.025+/-0.043 Mbps vs random, p=0.00422, 16/20 seeds"
lambda,lambda_i_per_s,1.0,False,1.9073486328125e-06,25,sca,kmeans,20,20,0.04631517900454698,0.021628848723535477,0.004836357602088488,0.03619256620765531,0.056437791801438646,20,0,0,1.0,210.0,20,exact,1.9073486328125e-06,9.5367431640625e-07,9.576458735091602,19,1.0519166628948775e-08,5.259583314474388e-09,8.943848059848213,8.897532880843666,"SCA wins by 0.046+/-0.022 Mbps vs kmeans, p<0.001, 20/20 seeds"
lambda,lambda_i_per_s,1.0,False,3.708733452690972e-05,25,sca,pso,20,20,0.04175783395804826,0.028337318393932553,0.006336417022888835,0.02849556071037968,0.055020107205716845,19,0,1,0.95,204.0,20,exact,2.6702880859375e-05,1.33514404296875e-05,6.590133478779534,19,2.6237814524519626e-06,1.3118907262259813e-06,8.943848059848213,8.902090225890166,"SCA wins by 0.042+/-0.028 Mbps vs pso, p<0.001, 19/20 seeds"
lambda,lambda_i_per_s,1.5,False,0.056615471839904785,25,sca,random,20,20,0.021743696055382067,0.04153270599297055,0.009286995388979504,0.0023057913130689646,0.04118160079769517,16,0,4,0.8,161.0,20,exact,0.03623390197753906,0.01811695098876953,2.3413057877884182,19,0.03026990320972228,0.01513495160486114,8.946853525974712,8.925109829919327,"SCA wins by 0.022+/-0.042 Mbps vs random, p=0.0362, 16/20 seeds"
lambda,lambda_i_per_s,1.5,False,1.9073486328125e-06,25,sca,kmeans,20,20,0.04692337050231501,0.021716338390032012,0.0048559208862499915,0.036759811281090085,0.05708692972353993,20,0,0,1.0,210.0,20,exact,1.9073486328125e-06,9.5367431640625e-07,9.6631249976051,19,9.114048101389839e-09,4.5570240506949195e-09,8.946853525974712,8.899930155472394,"SCA wins by 0.047+/-0.022 Mbps vs kmeans, p<0.001, 20/20 seeds"
lambda,lambda_i_per_s,1.5,False,2.8049244600183822e-05,25,sca,pso,20,20,0.04297758424186027,0.02734217404856906,0.006113895982523105,0.03018105288428912,0.05577411559943141,19,0,1,0.95,205.0,20,exact,1.9073486328125e-05,9.5367431640625e-06,7.02949221980779,19,1.0818015336167195e-06,5.409007668083598e-07,8.946853525974712,8.90387594173285,"SCA wins by 0.043+/-0.027 Mbps vs pso, p<0.001, 19/20 seeds"
lambda,lambda_i_per_s,2.0,True,,,sca,random,20,20,0.018778429973196075,0.042308832436695115,0.009460542537709834,-0.0010227131259835827,0.038579573072375736,15,0,5,0.75,147.0,20,exact,0.1230926513671875,0.06154632568359375,1.9849210442577718,19,0.061782588798032285,0.030891294399016143,8.946425328822471,8.927646898849275,"SCA wins by 0.019+/-0.042 Mbps vs random, p=0.123 (n.s.), 15/20 seeds"
lambda,lambda_i_per_s,2.0,True,,,sca,kmeans,20,20,0.04558627080300006,0.019470739405162592,0.004353789688212737,0.03647368425773598,0.05469885734826414,20,0,0,1.0,210.0,20,exact,1.9073486328125e-06,9.5367431640625e-07,10.470480677194484,19,2.4969754528046605e-09,1.2484877264023302e-09,8.946425328822471,8.900839058019471,"SCA wins by 0.046+/-0.019 Mbps vs kmeans, p<0.001, 20/20 seeds"
lambda,lambda_i_per_s,2.0,True,,,sca,pso,20,20,0.04187293596548365,0.026026157910099598,0.005819625828012656,0.029692319119797323,0.05405355281116998,19,0,1,0.95,206.0,20,exact,1.33514404296875e-05,6.67572021484375e-06,7.195125116795153,19,7.798785260431058e-07,3.899392630215529e-07,8.946425328822471,8.904552392856989,"SCA wins by 0.042+/-0.026 Mbps vs pso, p<0.001, 19/20 seeds"
lambda,lambda_i_per_s,2.5,False,0.13272666931152344,25,sca,random,20,20,0.01827804849122101,0.04187024283943254,0.009362470922339496,-0.0013178283579338493,0.03787392534037587,15,0,5,0.75,146.0,20,exact,0.13272666931152344,0.06636333465576172,1.9522675843626212,19,0.0658010469613399,0.03290052348066995,8.94726018057466,8.928982132083439,"SCA wins by 0.018+/-0.042 Mbps vs random, p=0.133 (n.s.), 15/20 seeds"
lambda,lambda_i_per_s,2.5,False,1.9073486328125e-06,25,sca,kmeans,20,20,0.04594271908032814,0.0196158091999329,0.004386228280471573,0.03676223778117517,0.05512320037948111,20,0,0,1.0,210.0,20,exact,1.9073486328125e-06,9.5367431640625e-07,10.474310989438228,19,2.4821095963651745e-09,1.2410547981825873e-09,8.94726018057466,8.901317461494331,"SCA wins by 0.046+/-0.020 Mbps vs kmeans, p<0.001, 20/20 seeds"
